"_id","_class","bizDomainIds","createTime","identityId","ip","owners","platformDomainId","principal","result","state","subjectId","updateTime","username","version"
"660006deea339519fbb08b9f","com.anzir.uc.service.provider.domain.auth.repo.AuthLogEntity","[ ]","1711277790397","0","113.200.137.122","[ ""0"" ]","SYD-AUS",,"SUCCESS","0","0","1711277790397","anzirOperatorAdmin","1"
"660056d7ea339519fbb08ba0","com.anzir.uc.service.provider.domain.auth.repo.AuthLogEntity","[ ]","1711298263208","59","93.51.236.130","[ ""0"" ]","SYD-AUS",,"SUCCESS","0","20","1711298263208","Rostislav Karchagin","1"
"66007b69ea339519fbb08ba1","com.anzir.uc.service.provider.domain.auth.repo.AuthLogEntity","[ ]","1711307625446","1219539877285072896","64.52.129.89","[ ""0"" ]","SYD-AUS",,"SUCCESS","0","1219539877087940608","1711307625446","Mark Anthony Tierno","1"
"6600edecf0b0e330c58c0165","com.anzir.uc.service.provider.domain.auth.repo.AuthLogEntity","[ ]","1711336940117","18","202.100.51.130","[ ""0"" ]","SYD-AUS",,"SUCCESS","0","5","1711336940117","施","1"
"6600edeff0b0e330c58c0166","com.anzir.uc.service.provider.domain.auth.repo.AuthLogEntity","[ ]","1711336943522","1219539877285072896","64.52.129.89","[ ""0"" ]","SYD-AUS",,"SUCCESS","0","1219539877087940608","1711336943522","Mark Anthony Tierno","1"
"6600edfbf0b0e330c58c0167","com.anzir.uc.service.provider.domain.auth.repo.AuthLogEntity","[ ]","1711336955672","1219539877285072896","64.52.129.89","[ ""0"" ]","SYD-AUS",,"SUCCESS","0","1219539877087940608","1711336955672","Mark Anthony Tierno","1"
"6600efa6f0b0e330c58c016f","com.anzir.uc.service.provider.domain.auth.repo.AuthLogEntity","[ ]","1711337382537","1219539877285072896","64.52.129.89","[ ""0"" ]","SYD-AUS",,"SUCCESS","0","1219539877087940608","1711337382537","Mark Anthony Tierno","1"
"65fd7b68ea339519fbb08b87","com.anzir.uc.service.provider.domain.auth.repo.AuthLogEntity","[ ]","1711111016312","1219480226594033664","141.2.233.243","[ ""0"" ]","SYD-AUS",,"SUCCESS","0","1219480226409484288","1711111016312","Nicole Zeiler","1"
"65fe4dc2ea339519fbb08b8a","com.anzir.uc.service.provider.domain.auth.repo.AuthLogEntity","[ ]","1711164866292","287","71.220.169.218","[ ""0"" ]","SYD-AUS",,"SUCCESS","0","95","1711164866292","Madolyn Mathena","1"
"65fec8a6ea339519fbb08b8c","com.anzir.uc.service.provider.domain.auth.repo.AuthLogEntity","[ ]","1711196326136","185","37.19.247.102","[ ""0"" ]","SYD-AUS",,"SUCCESS","0","60","1711196326136","Estrella García ","1"
"65fedacbea339519fbb08b8f","com.anzir.uc.service.provider.domain.auth.repo.AuthLogEntity","[ ]","1711200971373","120","43.252.115.14","[ ""0"" ]","SYD-AUS",,"SUCCESS","0","40","1711200971373","AnzirNari","1"
"65fee89eea339519fbb08b91","com.anzir.uc.service.provider.domain.auth.repo.AuthLogEntity","[ ]","1711204510893","85","78.210.43.140","[ ""0"" ]","SYD-AUS",,"SUCCESS","0","29","1711204510893","Francesco Beranger","1"
"65feebf3ea339519fbb08b92","com.anzir.uc.service.provider.domain.auth.repo.AuthLogEntity","[ ]","1711205363806","84","93.44.7.177","[ ""0"" ]","SYD-AUS",,"SUCCESS","0","29","1711205363806","Francesco Beranger","1"
"65feec12ea339519fbb08b93","com.anzir.uc.service.provider.domain.auth.repo.AuthLogEntity","[ ]","1711205394402","85","78.210.43.140","[ ""0"" ]","SYD-AUS",,"SUCCESS","0","29","1711205394402","Francesco Beranger","1"
"65feec55ea339519fbb08b94","com.anzir.uc.service.provider.domain.auth.repo.AuthLogEntity","[ ]","1711205461367","84","93.44.7.177","[ ""0"" ]","SYD-AUS",,"SUCCESS","0","29","1711205461367","Francesco Beranger","1"
"65feec73ea339519fbb08b95","com.anzir.uc.service.provider.domain.auth.repo.AuthLogEntity","[ ]","1711205491136","85","78.210.43.140","[ ""0"" ]","SYD-AUS",,"SUCCESS","0","29","1711205491136","Francesco Beranger","1"
"65feed17ea339519fbb08b96","com.anzir.uc.service.provider.domain.auth.repo.AuthLogEntity","[ ]","1711205655338","84","93.38.28.95","[ ""0"" ]","SYD-AUS",,"SUCCESS","0","29","1711205655338","Francesco Beranger","1"
"65feed3aea339519fbb08b97","com.anzir.uc.service.provider.domain.auth.repo.AuthLogEntity","[ ]","1711205690492","85","78.210.43.140","[ ""0"" ]","SYD-AUS",,"SUCCESS","0","29","1711205690492","Francesco Beranger","1"
"65ff6833ea339519fbb08b9a","com.anzir.uc.service.provider.domain.auth.repo.AuthLogEntity","[ ]","1711237171621","324","125.209.130.121","[ ""0"" ]","SYD-AUS",,"SUCCESS","0","107","1711237171621","Anzir_Test1","1"
"65ff9001ea339519fbb08b9b","com.anzir.uc.service.provider.domain.auth.repo.AuthLogEntity","[ ]","1711247361984","324","1.145.127.173","[ ""0"" ]","SYD-AUS",,"SUCCESS","0","107","1711247361984","Anzir_Test1","1"
"65ffd249ea339519fbb08b9d","com.anzir.uc.service.provider.domain.auth.repo.AuthLogEntity","[ ]","1711264329372","332","1.145.127.173","[ ""0"" ]","SYD-AUS",,"SUCCESS","0","110","1711264329372","Anzir_Test4","1"
"66009c82ea339519fbb08ba2","com.anzir.uc.service.provider.domain.auth.repo.AuthLogEntity","[ ]","1711316098994","1219480225709035520","72.212.16.44","[ ""0"" ]","SYD-AUS",,"SUCCESS","0","1219480225344131072","1711316098994","Maximilian Serventi","1"
